Rank,Player,Age,Tm,Pts Won,Pts Max,Share,G,Team Wins,Overall Seed,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,G-Lockout,Wins-Lockout,WS-Lockout,VORP-Lockout
10,Jamaal Wilkes,27,LAL,19,690,0.028,81,54,5,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135,2.2,0.8,,,,
1,Moses Malone,26,HOU,507,690,0.735,81,46,8,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218,5.4,4.3,,,,
2,Larry Bird,25,BOS,406,690,0.588,77,63,1,38,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.205,7,7.5,,,,
3,Julius Erving,31,PHI,203,690,0.294,81,58,2,34.4,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,13.3,0.229,6.9,7.8,,,,
4,Robert Parish,28,BOS,131,690,0.19,80,63,1,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0,0.71,10,0.19,3.7,3.8,,,,
5,Gus Williams,28,SEA,115,690,0.167,80,52,5,36,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.171,4.5,4.2,,,,
6,George Gervin,29,SAS,110,690,0.159,79,48,6,35.7,32.3,5,2.4,1,0.6,0.5,0.278,0.864,10.7,0.182,2.6,1.7,,,,
7,Sidney Moncrief,24,MIL,101,690,0.146,80,55,4,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216,5.6,5.5,,,,
8,Magic Johnson,22,LAL,67,690,0.097,78,57,3,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207,7.8,8.3,,,,
9,Jack Sikma,26,SEA,33,690,0.048,82,52,5,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199,4.7,4.1,,,,
10,Kareem Abdul-Jabbar,34,LAL,31,690,0.045,76,57,3,35.2,23.9,8.7,3,0.8,2.7,0.579,0,0.706,10.7,0.192,4.2,4.3,,,,
1,Moses Malone,27,PHI,720,750,0.96,78,65,1,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,0.248,4,3.4,,,,
2,Larry Bird,26,BOS,364,750,0.485,79,56,3,37.7,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,14,0.225,7.2,7.6,,,,
