rank,won_mvp,player,season_start,age,pos,pos_number,tm,pts_won,pts_max,vote_share,all_star_votes,g,team_wins,overall_seed,preseason_odds_rank,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ws,ws_per_48,vorp,bpm,offensive_raptor,defensive_raptor
9,0,Fat Lever,1987,27,SG,2,DEN,26,800,0.033,468339,82,54,3,12.5,37.3,7.8,16.6,0.473,0.1,0.7,0.211,7.7,15.9,0.484,0.477,3,3.9,0.785,2.5,5.6,8.1,7.8,2.7,0.3,2.2,2.6,18.9,20.5,0.516,0.042,0.232,6.7,16.5,11.4,28.1,3.3,0.4,10.8,21.4,10.4,0.163,6.2,6.1,3.841443746,2.358825104
10,0,John Stockton,1987,25,PG,1,UTA,15,800,0.019,241117,82,47,9,11,34.7,5.5,9.6,0.574,0.3,0.8,0.358,5.2,8.8,0.594,0.589,3.3,4,0.84,0.7,2.2,2.9,13.8,3,0.2,3.2,3,14.7,23.2,0.645,0.085,0.41,2.1,6.6,4.5,54.8,4,0.3,21.9,17.2,14.1,0.238,4.3,3.9,7.590385272,2.768548614
1,1,Magic Johnson,1988,29,PG,1,LAL,664.5,850,0.782,856751,77,57,3,1,37.5,7.5,14.8,0.509,0.8,2.4,0.314,6.8,12.3,0.548,0.535,6.7,7.3,0.911,1.4,6.4,7.9,12.8,1.8,0.3,4.1,2.2,22.5,26.9,0.625,0.165,0.495,4.6,18,11.7,48.6,2.3,0.4,18.4,24.3,16.1,0.267,8.2,9.3,8.622007785,0.547822748
2,0,Michael Jordan,1988,25,SG,2,CHI,598.8,850,0.704,1003062,81,47,9,9.5,40.2,11.9,22.2,0.538,0.3,1.2,0.276,11.6,21,0.553,0.546,8.3,9.8,0.85,1.8,6.2,8,8,2.9,0.8,3.6,3,32.5,31.1,0.614,0.055,0.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,19.8,0.292,12,12.6,8.297339778,2.711836232
3,0,Karl Malone,1988,25,PF,4,UTA,362,850,0.426,760168,80,51,7,6.5,39.1,10.1,19.5,0.519,0.1,0.2,0.313,10.1,19.3,0.521,0.521,8.8,11.5,0.766,3.2,7.4,10.7,2.7,1.8,0.9,3.6,3.6,29.1,24.4,0.592,0.01,0.589,10,19.6,15.1,12.8,2.3,1.3,12.7,30.4,15.2,0.233,6.5,6.1,2.725722959,1.706616477
4,0,Patrick Ewing,1988,26,C,5,NYK,200,850,0.235,382833,80,52,6,12,36.2,9.1,16,0.567,0,0.1,0,9.1,16,0.57,0.567,4.5,6.1,0.746,2.7,6.6,9.3,2.4,1.5,3.5,3.3,3.9,22.7,22.1,0.607,0.005,0.378,8,20.7,14.2,9.5,1.9,5.6,15.1,23.6,10.9,0.181,4.9,4.7,0.590989538,2.768355815
5,0,Hakeem Olajuwon,1988,26,C,5,HOU,179.3,850,0.211,670472,82,45,12,13,36.9,9.6,19,0.508,0,0.1,0,9.6,18.9,0.511,0.508,5.5,8,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4,24.8,25.2,0.552,0.006,0.419,12.2,27.2,19.8,8.2,3.3,5.5,13,28.2,12.4,0.197,5.6,5.4,0.196380374,6.440925876
6,0,Charles Barkley,1988,25,PF,4,PHI,94.3,850,0.111,486526,79,46,11,19,39.1,8.9,15.3,0.579,0.4,2.1,0.216,8.4,13.2,0.636,0.594,7.6,10.1,0.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8,27,0.653,0.134,0.661,14.5,21.3,17.9,16,2,1.3,14,24.4,16.1,0.25,9.2,9.8,7.447617675,0.465486932
7,0,John Stockton,1988,26,PG,1,UTA,28,850,0.033,353126,82,51,7,6.5,38.7,6.1,11.3,0.538,0.2,0.8,0.242,5.9,10.5,0.561,0.547,4.8,5.5,0.863,1,2,3,13.6,3.2,0.2,3.8,2.9,17.1,22.9,0.624,0.072,0.49,3.1,5.4,4.3,54.3,4.1,0.3,21.5,19.1,15.6,0.236,5.5,4.8,7.46779892,2.764024445
8,0,Kevin Johnson,1988,22,PG,1,PHO,22,850,0.026,0,81,55,4,19,39.2,7,13.9,0.505,0,0.3,0.091,7,13.7,0.514,0.506,6.3,7.1,0.882,0.6,3.6,4.2,12.2,1.7,0.3,4,2.8,20.4,20.5,0.597,0.02,0.511,1.6,9.4,5.7,40.4,2,0.4,18.9,21.2,12.2,0.184,4.5,3.5,5.411755873,-0.101621011
9,0,Tom Chambers,1988,29,PF,4,PHO,20,850,0.024,0,81,55,4,19,37.1,9.6,20.3,0.471,0.3,1.1,0.326,9.2,19.2,0.479,0.48,6.3,7.4,0.851,1.8,6.7,8.4,2.9,1.1,0.7,2.9,3.3,25.7,19.3,0.547,0.052,0.364,5.3,18.4,12.1,11.1,1.3,1,10.8,28.2,9.2,0.146,2.4,1.2,1.046380307,0.374552178
10,0,Mark Price,1988,24,PG,1,CLE,18,850,0.021,388715,75,57,2,4,36.4,7.1,13.4,0.526,1.2,2.8,0.441,5.8,10.6,0.548,0.572,3.5,3.9,0.901,0.6,2.4,3,8.4,1.5,0.1,2.8,1.3,18.9,20.6,0.623,0.21,0.29,2.1,7,4.7,33.8,2.1,0.1,15.7,21,11.3,0.199,3.8,3.5,4.811408527,-0.189413644
1,1,Magic Johnson,1989,30,PG,1,LAL,636,920,0.691,214348,79,63,1,2.5,37.2,6.9,14.4,0.48,1.3,3.5,0.384,5.6,10.9,0.51,0.526,7.2,8.1,0.89,1.6,5,6.6,11.5,1.7,0.4,3.7,2.1,22.3,26.6,0.622,0.243,0.56,5.2,14.8,10.2,45.5,2.2,0.7,16.9,24.8,16.5,0.27,8.5,9.5,9.010917567,0.289609491
2,0,Charles Barkley,1989,26,SF,3,PHI,614,920,0.667,182639,79,53,8,14,39.1,8.9,14.9,0.6,0.3,1.2,0.217,8.7,13.7,0.632,0.608,7.1,9.4,0.749,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2,27.1,0.661,0.078,0.632,13.4,20,16.7,15.6,2.4,1,13.9,24,17.3,0.269,9.2,9.8,7.468735112,1.177973484
3,0,Michael Jordan,1989,26,SG,2,CHI,564,920,0.613,321114,82,55,5,6.5,39,12.6,24,0.526,1.1,3,0.376,11.5,21,0.548,0.55,7.2,8.5,0.848,1.7,5.1,6.9,6.3,2.8,0.7,3,2.9,33.6,31.2,0.606,0.125,0.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,19,0.285,10.1,10.6,8.620219516,2.217516586
